-90	 7.290000000
-88	 6.439329173
-86	 5.618995950
-84	 4.828518105
-82	 4.067411931
-80	 3.335192247
-78	 2.631372399
-76	 1.955464274
-74	 1.306978304
-72	 0.685423484
-70	 0.090307379
-68	-0.478863855
-66	-1.022585458
-64	-1.541354046
-62	-2.035667593
-60	-2.506025404
-58	-2.952928096
-56	-3.376877573
-54	-3.778376994
-52	-4.157930754
-50	-4.516044443
-48	-4.853224825
-46	-5.169979800
-44	-5.466818370
-42	-5.744250606
-40	-6.002787610
-38	-6.242941475
-36	-6.465225252
-34	-6.670152903
-32	-6.858239264
-30	-7.030000000
-28	-7.185951563
-26	-7.326611147
-24	-7.452496643
-22	-7.564126593
-20	-7.662020143
-18	-7.746696994
-16	-7.818677356
-14	-7.878481896
-12	-7.926631691
-10	-7.963648178
-8	-7.990053101
-6	-8.006368463
-4	-8.013116474
-2	-8.010819497
0	-8.000000000
2	-7.981180503
4	-7.954883526
6	-7.921631537
8	-7.881946899
10	-7.836351822
12	-7.785368309
14	-7.729518104
16	-7.669322644
18	-7.605303006
20	-7.537979857
22	-7.467873407
24	-7.395503357
26	-7.321388853
28	-7.246048437
30	-7.170000000
32	-7.093760736
34	-7.017847097
36	-6.942774748
38	-6.869058525
40	-6.797212390
42	-6.727749394
44	-6.661181630
46	-6.598020200
48	-6.538775175
50	-6.483955557
52	-6.434069246
54	-6.389623006
56	-6.351122427
58	-6.319071904
60	-6.293974596
62	-6.276332407
64	-6.266645954
66	-6.265414542
68	-6.273136145
70	-6.290307379
72	-6.317423484
74	-6.354978304
76	-6.403464274
78	-6.463372399
80	-6.535192247
82	-6.619411931
84	-6.716518105
86	-6.826995950
88	-6.951329173
90	-7.090000000
